;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
344;Alagoas;Total;Estadual;99,8;99,7;0,0;0,0;0,2;0,3
345;Alagoas;Urbana;Estadual;99,8;99,7;0,0;0,0;0,2;0,3
346;Alagoas;Rural;Estadual;99,3;99,9;0,0;0,0;0,7;0,1
347;Alagoas;Total;Municipal;99,4;;0,2;;0,4;
348;Alagoas;Urbana;Municipal;99,4;;0,2;;0,4;
349;Alagoas;Rural;Municipal;99,3;;0,2;;0,5;
350;Alagoas;Total;Privada;94,8;98,1;0,7;0,8;4,5;1,1
351;Alagoas;Urbana;Privada;94,8;98,2;0,7;0,7;4,5;1,1
352;Alagoas;Rural;Privada;96,2;70,6;0,5;23,5;3,3;5,9
353;Alagoas;Total;Pública;99,4;99,3;0,2;0,3;0,4;0,4
354;Alagoas;Urbana;Pública;99,4;99,3;0,2;0,3;0,4;0,4
